Name,Sequence,Period,Year,Month,Type,Price
South Delridge,113,2005-08,2005,8,SFH,264400
South Delridge,114,2005-09,2005,9,SFH,269100
South Delridge,115,2005-10,2005,10,SFH,272900
South Delridge,116,2005-11,2005,11,SFH,276400
South Delridge,117,2005-12,2005,12,SFH,279700
South Delridge,118,2006-01,2006,1,SFH,282600
South Delridge,119,2006-02,2006,2,SFH,286200
South Delridge,120,2006-03,2006,3,SFH,289100
South Delridge,121,2006-04,2006,4,SFH,291700
South Delridge,122,2006-05,2006,5,SFH,295300
South Delridge,123,2006-06,2006,6,SFH,300600
South Delridge,124,2006-07,2006,7,SFH,305900
South Delridge,125,2006-08,2006,8,SFH,309500
South Delridge,126,2006-09,2006,9,SFH,311300
South Delridge,127,2006-10,2006,10,SFH,312900
South Delridge,128,2006-11,2006,11,SFH,314700
South Delridge,129,2006-12,2006,12,SFH,317400
South Delridge,130,2007-01,2007,1,SFH,320500
South Delridge,131,2007-02,2007,2,SFH,322900
South Delridge,132,2007-03,2007,3,SFH,324500
South Delridge,133,2007-04,2007,4,SFH,325700
South Delridge,134,2007-05,2007,5,SFH,326000
South Delridge,135,2007-06,2007,6,SFH,326000
South Delridge,136,2007-07,2007,7,SFH,325000
South Delridge,137,2007-08,2007,8,SFH,324300
South Delridge,138,2007-09,2007,9,SFH,324000
South Delridge,139,2007-10,2007,10,SFH,324000
South Delridge,140,2007-11,2007,11,SFH,323400
South Delridge,141,2007-12,2007,12,SFH,322600
South Delridge,142,2008-01,2008,1,SFH,321800
South Delridge,143,2008-02,2008,2,SFH,320600
South Delridge,144,2008-03,2008,3,SFH,319000
South Delridge,145,2008-04,2008,4,SFH,317100
South Delridge,146,2008-05,2008,5,SFH,314800
South Delridge,147,2008-06,2008,6,SFH,310700
South Delridge,148,2008-07,2008,7,SFH,306500
South Delridge,149,2008-08,2008,8,SFH,304600
South Delridge,150,2008-09,2008,9,SFH,303100
South Delridge,151,2008-10,2008,10,SFH,299200
South Delridge,152,2008-11,2008,11,SFH,294200
South Delridge,153,2008-12,2008,12,SFH,291200
South Delridge,154,2009-01,2009,1,SFH,290100
South Delridge,155,2009-02,2009,2,SFH,288000
